X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-91.222843,47.79916,623.00903,,,,CAMP-1882,CAMP-1882,CAMP- Perent River - 1882 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=1882&elat=47.79916&elon=-91.222843,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.232907,47.80404,623.00903,,,,CAMP-1883,CAMP-1883,CAMP- Perent River - 1883 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1883&elat=47.80404&elon=-91.232907,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.261896,48.01918,623.00903,,,,CAMP-1884,CAMP-1884,CAMP- Gowan Lake - 1884 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1884&elat=48.01918&elon=-92.261896,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.287923,48.01947,623.00903,,,,CAMP-1885,CAMP-1885,CAMP- Trout Lake - 1885 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1885&elat=48.01947&elon=-92.287923,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.294539,48.02404,623.00903,,,,CAMP-1886,CAMP-1886,CAMP- Trout Lake - 1886 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1886&elat=48.02404&elon=-92.294539,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.29769,48.02311,623.00903,,,,CAMP-1887,CAMP-1887,CAMP- Trout Lake - 1887 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=1887&elat=48.02311&elon=-92.29769,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.301404,48.02223,623.00903,,,,CAMP-1888,CAMP-1888,CAMP- Trout Lake - 1888 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1888&elat=48.02223&elon=-92.301404,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.304393,48.02136,623.00903,,,,CAMP-1889,CAMP-1889,CAMP- Trout Lake - 1889 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1889&elat=48.02136&elon=-92.304393,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.309201,48.00482,623.00903,,,,CAMP-1890,CAMP-1890,CAMP- Trout Lake - 1890 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1890&elat=48.00482&elon=-92.309201,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.323379,48.00335,623.00903,,,,CAMP-1891,CAMP-1891,CAMP- Trout Lake - 1891 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1891&elat=48.00335&elon=-92.323379,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.340938,48.00993,623.00903,,,,CAMP-1892,CAMP-1892,CAMP- Oriniack Lake - 1892 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1892&elat=48.00993&elon=-92.340938,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.34891,48.01044,623.00903,,,,CAMP-1893,CAMP-1893,CAMP- Oriniack Lake - 1893 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1893&elat=48.01044&elon=-92.34891,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.358123,48.00283,623.00903,,,,CAMP-1894,CAMP-1894,CAMP- Oriniack Lake - 1894 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1894&elat=48.00283&elon=-92.358123,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.355169,48.10637,623.00903,,,,CAMP-1895,CAMP-1895,CAMP- Maude Lake - 1895 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1895&elat=48.10637&elon=-92.355169,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
