X,Y,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type
-90.2523679367409,48.0586834785774,Portage 70,,Portage 70 - Rods: 380 Feet: 7600,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=70&elat=48.0626251442&elon=-90.256809729,Portage Link,,,,,,
-90.8941315515912,48.068504757875,Portage 71,,Portage 71 - Rods: 39 Feet: 696,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=71&elat=48.0695059405&elon=-90.8947552074,Portage Link,,,,,,
-90.7967745288649,48.065945076157,Portage 72,,Portage 72 - Rods: 14 Feet: 274,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=72&elat=48.0663979818&elon=-90.797166297,Portage Link,,,,,,
-90.8890471670955,48.0674058963924,Portage 73,,Portage 73 - Rods: 67 Feet: 1333,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=73&elat=48.068991887&elon=-90.8863623735,Portage Link,,,,,,
-90.2339083233499,48.0536174111019,Portage 74,,Portage 74 - Rods: 87 Feet: 1803,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=74&elat=48.0521521837&elon=-90.2302387933,Portage Link,,,,,,
-90.351997548232,48.0553263666123,Portage 75,,Portage 75 - Rods: 66 Feet: 1377,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=75&elat=48.0561606148&elon=-90.3491563271,Portage Link,,,,,,
-91.3114048051348,48.0729083415878,Portage 76,,Portage 76 - Rods: 66 Feet: 1381,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=76&elat=48.0730071577&elon=-91.3116504338,Portage Link,,,,,,
-90.6857839890752,48.0601031493541,Portage 77,,Portage 77 - Rods: 18 Feet: 465,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=77&elat=48.0600467532&elon=-90.6842570493,Portage Link,,,,,,
-90.227194865477,48.0505579889216,Portage 78,,Portage 78 - Rods: 26 Feet: 604,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=78&elat=48.0513686774&elon=-90.2276017504,Portage Link,,,,,,
-90.6819806449798,48.059589149166,Portage 79,,Portage 79 - Rods: 9 Feet: 152,bwca.com,https://bwca.com/index.cfm?fuseaction=maps.portage_info&entityid=79&elat=48.0595211407&elon=-90.6818419814,Portage Link,,,,,,
